latitude,longitude,scientificname,occurrenceRemarks,Year
35.923055999103255,-106.500556,Hippodamia parenthesis,Note,2014
49.767,-100.628,Hippodamia parenthesis,Note,2015
49.0,-106.55,Hippodamia parenthesis,Note,2014
43.7693901,-103.60193,Hippodamia parenthesis,Note,2014
49.76,-100.62,Hippodamia parenthesis,Note,2015
49.7599983215332,-100.62000274658205,Hippodamia parenthesis,Note,2015
50.97999954223633,-107.12999725341795,Hippodamia parenthesis,Note,2015
49.0,-106.5500030517578,Hippodamia parenthesis,Note,2014
46.5897598,-112.0212,Hippodamia parenthesis,Note,2014
35.923057556152344,-106.50055694580078,Hippodamia parenthesis,Note,2014
41.03164,-91.963376,Hippodamia parenthesis,Note,2014
42.9738693,-77.853286,Hippodamia parenthesis,Note,2014
42.106687,-83.430928,Hippodamia parenthesis,Note,2009
44.1531715,-87.568367,Hippodamia parenthesis,Note,2014
38.2844889844,-104.6096992493,Hippodamia parenthesis,Note,2014
40.9096716667,-76.1000221667,Hippodamia parenthesis,Note,2021
44.3113573,-96.798387,Hippodamia parenthesis,Note,2009
49.7443738825,-118.936390878,Hippodamia parenthesis,Note,2021
38.9797141,-105.35749,Hippodamia parenthesis,Note,2009
42.8505134444,-79.5619964444,Hippodamia parenthesis,Note,2021
45.78398,-75.0989916667,Hippodamia parenthesis,Note,2021
53.67478,-112.8204633333,Hippodamia parenthesis,Note,2021
40.1828512869,-116.8960129225,Hippodamia parenthesis,Note,2021
49.0,-106.56,Hippodamia parenthesis,Note,2014
46.1667216667,-113.0646666667,Hippodamia parenthesis,Note,2021
49.18,-107.69,Hippodamia parenthesis,Note,2008
45.0430984497,-79.3121032715,Hippodamia parenthesis,Note,2021
49.18,-107.68,Hippodamia parenthesis,Note,2008
49.07,-106.53,Hippodamia parenthesis,Note,2008
49.071,-106.531,Hippodamia parenthesis,Note,2008
49.77,-100.63,Hippodamia parenthesis,Note,2015
38.990020267,-93.5667738321,Hippodamia parenthesis,Note,2021
50.8022313864,-115.3679546714,Hippodamia parenthesis,Note,2021
46.1304206,-112.95333,Hippodamia parenthesis,Note,2015
40.612365,-120.720234,Hippodamia parenthesis,Note,2015
35.2400472222,-107.660775,Hippodamia parenthesis,Note,2021
36.1962945066,-105.2243145982,Hippodamia parenthesis,Note,2021
49.18000030517578,-107.69000244140624,Hippodamia parenthesis,Note,2008
37.9521666667,-118.4511866667,Hippodamia parenthesis,Note,2021
49.0,-106.55999755859376,Hippodamia parenthesis,Note,2014
47.63,-92.863333,Hippodamia parenthesis,Note,2014
40.7217869233,-99.3697406352,Hippodamia parenthesis,Note,2021
50.9339199326,-115.7176792511,Hippodamia parenthesis,Note,2021
53.6015116,-106.516698,Hippodamia parenthesis,Note,2021
49.0532083333,-114.0758528333,Hippodamia parenthesis,Note,2021
38.533,-104.411,Hippodamia parenthesis,Note,2014
40.0149856,-105.27054,Hippodamia parenthesis,Note,2009
38.2844291388,-104.6099737502,Hippodamia parenthesis,Note,2008
