,accuracy,precision,recall,f1,auc,brier,kappa
1,0.8909803921568625,0.8913567129813693,0.8889939115466885,0.889199637192648,0.9464697203096111,0.09392492998606895,0.78022884942134
2,0.8899999999999995,0.90083312171441,0.8751289906537066,0.8866453662784877,0.946045545674129,0.09206641008884742,0.778420459990934
3,0.9029411764705881,0.9149712492003972,0.885891516095908,0.8995261184339235,0.9517752462484448,0.08749088291850132,0.804254804509066
4,0.8941176470588234,0.9025976261774901,0.8815909919127105,0.8911672897494083,0.945220745757814,0.09385426125333568,0.786765825580501
5,0.8939215686274506,0.9043704812328037,0.8799899970772559,0.8906357024295868,0.9472261292352735,0.0941570060534393,0.7863373053456254
6,0.8927450980392154,0.8945632721673914,0.8877574186026764,0.8904398840741878,0.9443087258985762,0.09370524093160122,0.7836558033146248
7,0.8917647058823529,0.9036825421257556,0.8749604499179184,0.88813975100428,0.943401220289618,0.09415266196006689,0.7817963270979543
8,0.8837254901960787,0.8934858922080611,0.8707702771352477,0.8809830201192514,0.9433286068292768,0.09429562381108,0.7657035358634545
9,0.8998039215686273,0.9059154081771298,0.8930667588663935,0.8980010623439114,0.9514528867019564,0.0841153432089495,0.7982879791294225
10,0.8835294117647058,0.8875448912618669,0.876764300585256,0.8809483450787698,0.9438212319387688,0.09484540909155939,0.765513548768028
11,0.8972549019607841,0.8957104769807722,0.8979582790450102,0.8957313402057748,0.9512826592766167,0.08594195777399906,0.7928561951056807
12,0.8752941176470586,0.8854649746069263,0.8625307460785986,0.8721669598267345,0.9443122781326665,0.09420571313503384,0.7494966854075781
13,0.8798039215686272,0.9109475576637109,0.8407945545736929,0.8732971497708693,0.944598912566128,0.09649207017690208,0.7580527082074117
14,0.8945098039215686,0.9035512945199491,0.8813872812668655,0.8915351787838175,0.9501153434899297,0.08864287072487906,0.7872927042367328
15,0.8917647058823526,0.8977359158827329,0.8824088373428118,0.8891995468083013,0.9453176927331642,0.09631170465117612,0.7818115836990037
16,0.8986274509803917,0.9081603469379661,0.8856650348970168,0.8959837307461346,0.9482070830293341,0.09027622449405193,0.7955088970296859
17,0.885490196078431,0.8818522378775573,0.8884090771621175,0.8840293044870323,0.949968152956473,0.093262266733224,0.7694434677387363
18,0.8974509803921564,0.8926386192744343,0.9014463156836393,0.896175126046396,0.9480135716367254,0.08946835229377498,0.7935001545441684
19,0.8992156862745097,0.908545100406613,0.886950307172119,0.8966210069311047,0.9511360985979533,0.08575453920590531,0.7971007632202992
20,0.9045098039215683,0.9233878133657223,0.8803072516309123,0.9003398464719483,0.9514692986261024,0.08509540475689892,0.8074614631141941
21,0.9007843137254901,0.9144291858433874,0.8842685214678079,0.8980703626646998,0.9532744753517286,0.0840944254268369,0.8003118784141416
22,0.9025490196078428,0.9077307807683301,0.8951939080215457,0.9001860161929804,0.9528659400810127,0.08545576293853084,0.8037476533719778
23,0.8945098039215683,0.9040990922188272,0.8825915072207552,0.8919970422648252,0.9558890144819802,0.08323375433659917,0.7876093886639101
24,0.8854901960784312,0.8817319759239177,0.8906086757983123,0.885121380096909,0.9465298958706504,0.09209096336122843,0.7693257723731888
25,0.8872549019607839,0.8828840688516719,0.8915497813068133,0.8861360483565922,0.9530354874739717,0.0913067043193211,0.7730053982718553
26,0.8986274509803919,0.9061504362885272,0.887888731880845,0.896069215878404,0.9502458212697217,0.08652927421781262,0.7958194158007718
27,0.8819607843137253,0.8853748428361615,0.8747765859856907,0.8792513441321873,0.9406105213401633,0.09960093818510123,0.7622675168251996
28,0.8886274509803918,0.8928775490804051,0.8825517200783883,0.8865166488639358,0.9447138862872408,0.09447292965048903,0.7757682228577412
29,0.8852941176470585,0.8906958210652113,0.8778869179165666,0.8828635787396153,0.9464436153449948,0.09308868245012691,0.7692123804294816
30,0.8758823529411763,0.885262737612574,0.8622506985747056,0.8726874143544728,0.9394304187065019,0.09881386978730183,0.7501788459614631
31,0.888627450980392,0.8898932348058187,0.8867610450770084,0.8864828062723089,0.9504360654337937,0.09126476828311116,0.776332290228083
32,0.8821568627450977,0.8849908478049581,0.8780222784000352,0.8802626788779129,0.943606541442075,0.09639745568365968,0.7627557875023362
33,0.8896078431372543,0.8870041779330501,0.8910425125908558,0.888143630114248,0.9461597691773436,0.09208365764164932,0.7773985073935146
34,0.8901960784313724,0.8936884989002238,0.8824890529415009,0.8872985068602857,0.9476297271239352,0.09123882716128037,0.7788876662216273
35,0.8827450980392153,0.8810690512403154,0.8826164292643732,0.8809436323921547,0.9412059929371778,0.0977034645667155,0.7637422826164078
36,0.9074509803921567,0.9229486964390798,0.8876882526638533,0.9040333830960684,0.9522645021216962,0.08386081449711179,0.8136083483967598
37,0.9033333333333329,0.9058264999667541,0.8991474436390056,0.9013927970967286,0.95380067939004,0.08608298124429517,0.8052184027296573
38,0.8837254901960782,0.898914541774322,0.865424927010357,0.8805318560635529,0.9439622214652762,0.09549272017215715,0.7659132988931485
