,accuracy,precision,recall,f1,auc,brier,kappa
0,0.8671328671328671,0.916030534351145,0.8163265306122449,0.8633093525179856,0.9272010962658443,0.1055354016493205,0.7348880323949847
1,0.8811188811188811,0.9202898550724637,0.8466666666666667,0.8819444444444444,0.9311274509803922,0.09766271097698963,0.7626440148408514
2,0.8881118881118881,0.9230769230769231,0.8244274809160306,0.870967741935484,0.927727160797833,0.10009234371362528,0.7727566171723692
3,0.9020979020979021,0.9178082191780822,0.8933333333333333,0.9054054054054055,0.9455637254901961,0.08309932865466489,0.803994517329156
4,0.8916083916083916,0.8978102189781022,0.8785714285714286,0.888086642599278,0.9432240704500978,0.08757629617262051,0.7830257941363614
5,0.8741258741258742,0.8796992481203008,0.8540145985401459,0.8666666666666667,0.9337187086660461,0.09465126531219677,0.7475109127470695
6,0.8951048951048951,0.9389312977099237,0.8482758620689655,0.891304347826087,0.9539985326485694,0.08539887416433206,0.7904557221706638
7,0.8671328671328671,0.8689655172413793,0.8689655172413793,0.8689655172413793,0.9383956957691366,0.0971475412141317,0.7342137441917339
8,0.8776223776223776,0.9202898550724637,0.8410596026490066,0.8788927335640138,0.9337993622761834,0.09814169550581846,0.7557225828493338
9,0.8531468531468531,0.9312977099236641,0.7870967741935484,0.8531468531468531,0.9323319379463187,0.10332511675578643,0.7083474967221872
10,0.8951048951048951,0.9469026548672567,0.816793893129771,0.8770491803278689,0.9233932528933761,0.0901951524664528,0.7864502961819901
11,0.8811188811188811,0.8888888888888888,0.8484848484848485,0.8682170542635659,0.9281532861078317,0.09823793145601643,0.760043431053203
12,0.8496503496503497,0.8676470588235294,0.8251748251748252,0.8458781362007168,0.9026847278595529,0.1193300003386597,0.6993006993006994
13,0.8811188811188811,0.9029850746268657,0.852112676056338,0.8768115942028987,0.9338077073552425,0.10141879365326167,0.762133072407045
14,0.8951048951048951,0.9333333333333333,0.8571428571428571,0.8936170212765957,0.9450888268976656,0.08713957141040002,0.7905375714076461
15,0.8846153846153846,0.9032258064516129,0.8421052631578947,0.8715953307392995,0.9484495552607008,0.09059688788975968,0.7670664889678661
