,accuracy,precision,recall,f1,auc,brier,kappa
0,0.7755102040816326,0.7901234567901234,0.8,0.7950310559006211,0.833768656716418,0.17278249503657925,0.5469319137013169
1,0.7687074829931972,0.75,0.7272727272727273,0.7384615384615384,0.8701833146277591,0.14792745007464306,0.5312324141812041
2,0.7278911564625851,0.7884615384615384,0.5857142857142857,0.6721311475409837,0.824025974025974,0.1734484593564051,0.4480946123521682
3,0.782312925170068,0.859375,0.7051282051282052,0.7746478873239436,0.8547008547008548,0.15627275936086282,0.5680440771349862
4,0.782312925170068,0.726027397260274,0.8153846153846154,0.7681159420289856,0.8668855534709193,0.1569897566937508,0.56428306780289
5,0.782312925170068,0.8166666666666667,0.7,0.7538461538461538,0.8633580705009276,0.15201265317623755,0.5607843137254902
6,0.8231292517006803,0.803030303030303,0.803030303030303,0.803030303030303,0.8960905349794239,0.13116297748837275,0.6425364758698092
7,0.7891156462585034,0.8625,0.7752808988764045,0.8165680473372781,0.8690430065865943,0.1491696272587861,0.5702159766103934
8,0.7551020408163265,0.8627450980392157,0.6027397260273972,0.7096774193548387,0.8428359866716031,0.15744214347114235,0.5091819699499165
9,0.7755102040816326,0.8245614035087719,0.6714285714285714,0.7401574803149606,0.8510204081632653,0.16507269684412534,0.5461689587426326
10,0.8367346938775511,0.8676470588235294,0.7972972972972973,0.8309859154929577,0.8845797852647167,0.13666889359290263,0.6736355226641999
11,0.8299319727891157,0.8734177215189873,0.8214285714285714,0.8466257668711655,0.9139266817838247,0.12293418952190219,0.656188605108055
12,0.7959183673469388,0.8028169014084507,0.7808219178082192,0.7916666666666666,0.8536653091447612,0.15527636095561456,0.5917422699500092
13,0.8095238095238095,0.8378378378378378,0.7948717948717948,0.8157894736842105,0.8707729468599034,0.14523470051534665,0.6188888888888889
14,0.7755102040816326,0.7678571428571429,0.6825396825396826,0.7226890756302521,0.8407029478458049,0.1580860754559987,0.5352112676056338
15,0.7959183673469388,0.8360655737704918,0.7183098591549296,0.7727272727272727,0.8683283914010379,0.15334487411330133,0.5894619251536026
16,0.8095238095238095,0.7887323943661971,0.8115942028985508,0.8,0.903846153846154,0.13001039311498744,0.6182526432943796
17,0.8163265306122449,0.8870967741935484,0.7333333333333333,0.8029197080291971,0.8688888888888889,0.14209058721909976,0.6338223083310268
18,0.7619047619047619,0.8378378378378378,0.7294117647058823,0.779874213836478,0.8580645161290322,0.15991983579649668,0.5233021402761049
19,0.8027210884353742,0.8431372549019608,0.671875,0.7478260869565218,0.8558923192771085,0.1469934682530156,0.589187626481642
20,0.8571428571428571,0.875,0.84,0.8571428571428572,0.9190740740740742,0.11137805660103296,0.7144046627810158
21,0.8027210884353742,0.8846153846153846,0.7752808988764045,0.8263473053892216,0.8902557148392096,0.1453604923069955,0.60028129395218
22,0.8163265306122449,0.8307692307692308,0.7714285714285715,0.8,0.8628014842300556,0.14765783487357154,0.6306188925081433
23,0.782312925170068,0.8307692307692308,0.72,0.7714285714285715,0.8653703703703703,0.14933681955199782,0.5656509695290859
24,0.8367346938775511,0.9,0.7875,0.84,0.9155783582089552,0.11943767969264873,0.6748387096774193
25,0.8027210884353742,0.8769230769230769,0.7307692307692307,0.7972027972027972,0.8635265700483091,0.14842592149030912,0.6082161566032533
26,0.8163265306122449,0.8181818181818182,0.7258064516129032,0.7692307692307693,0.8444971537001896,0.1553311204184512,0.6175932170729357
27,0.8095238095238095,0.9117647058823529,0.7380952380952381,0.8157894736842106,0.8685752078609222,0.14816040719425821,0.6230769230769231
28,0.7959183673469388,0.8028169014084507,0.7808219178082192,0.7916666666666666,0.8789337282487967,0.14213376475641304,0.5917422699500092
29,0.8435374149659864,0.835820895522388,0.8235294117647058,0.8296296296296296,0.8916604616530157,0.1368998758433774,0.6849902170874872
30,0.8027210884353742,0.8412698412698413,0.7361111111111112,0.7851851851851852,0.8721296296296297,0.14638489214650524,0.6042884990253412
31,0.8095238095238095,0.819672131147541,0.746268656716418,0.7812500000000001,0.8775186567164179,0.14304809738847987,0.613230595752678
32,0.8231292517006803,0.8382352941176471,0.7916666666666666,0.8142857142857143,0.8953703703703705,0.13401601713239578,0.6457174638487209
33,0.8095238095238095,0.8490566037735849,0.6923076923076923,0.7627118644067797,0.8425891181988743,0.16315502246740918,0.6063504208110175
34,0.8231292517006803,0.8157894736842105,0.8378378378378378,0.8266666666666665,0.8737504627915587,0.14588254314448335,0.6461766339566747
35,0.782312925170068,0.828125,0.7162162162162162,0.7681159420289855,0.8741206960385042,0.14605734632696912,0.5650083225448492
