,accuracy,precision,recall,f1,auc,brier,kappa
0,0.8307692307692308,0.7741935483870968,0.8571428571428571,0.8135593220338982,0.9382239382239382,0.10395034064528619,0.6593616007622678
1,0.8923076923076924,0.8484848484848485,0.9333333333333333,0.888888888888889,0.927142857142857,0.10588497154962301,0.7848699763593381
2,0.8769230769230769,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.9228219696969698,0.10038899811331096,0.7537878787878788
3,0.8461538461538461,0.875,0.75,0.8076923076923077,0.88996138996139,0.12119489072991015,0.6807465618860511
4,0.8461538461538461,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.943486590038314,0.1001966810313589,0.6948356807511737
5,0.9384615384615385,0.9642857142857143,0.9,0.9310344827586207,0.9676190476190476,0.06659803467570559,0.8755980861244019
6,0.9230769230769231,1.0,0.8717948717948718,0.9315068493150686,0.9684418145956607,0.08162915903820404,0.84472049689441
7,0.8769230769230769,0.9545454545454546,0.75,0.84,0.9218146718146718,0.10517300801171806,0.7423191278493558
8,0.9076923076923077,0.8947368421052632,0.9444444444444444,0.918918918918919,0.9434865900383143,0.0933090510080984,0.8119575699132112
9,0.9384615384615385,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9339080459770116,0.0800032426582132,0.8754789272030652
10,0.9076923076923077,0.9333333333333333,0.875,0.9032258064516129,0.9488636363636364,0.0804634554363654,0.8151658767772512
11,0.8923076923076924,0.9090909090909091,0.8823529411764706,0.8955223880597014,0.9530360531309298,0.09084171202204794,0.7844623401231644
12,0.9230769230769231,0.9411764705882353,0.9142857142857143,0.9275362318840579,0.9614285714285714,0.07815596883982866,0.8456057007125891
13,0.8769230769230769,0.8333333333333334,0.9722222222222222,0.8974358974358975,0.9568965517241379,0.09465244195015525,0.7458455522971652
14,0.9076923076923077,0.9393939393939394,0.8857142857142857,0.9117647058823529,0.9314285714285714,0.09329284945239169,0.8151658767772512
15,0.8923076923076924,0.8571428571428571,0.9375,0.8955223880597014,0.9535984848484849,0.08581865874413167,0.7848699763593381
16,0.8769230769230769,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9447731755424064,0.10135453556721988,0.7435897435897436
17,0.9384615384615385,0.90625,0.9666666666666667,0.9354838709677419,0.9676190476190476,0.07102598075057726,0.8767772511848341
18,0.8769230769230769,0.9117647058823529,0.8611111111111112,0.8857142857142858,0.9334291187739463,0.10888456779078537,0.7526165556612749
19,0.9076923076923077,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9695945945945946,0.06849095435751539,0.8133971291866029
20,0.8307692307692308,0.8292682926829268,0.8947368421052632,0.860759493670886,0.8567251461988304,0.13819192641171116,0.6458642892521049
21,0.9384615384615385,0.896551724137931,0.9629629629629629,0.9285714285714286,0.9868421052631579,0.05528365263074521,0.8746383799421408
22,0.8923076923076924,0.9354838709677419,0.8529411764705882,0.8923076923076922,0.9544592030360531,0.09947601747572873,0.7850732168162494
23,0.9076923076923077,0.9117647058823529,0.9117647058823529,0.9117647058823528,0.933111954459203,0.12351000179055759,0.8149905123339658
24,0.8923076923076924,0.875,0.9032258064516129,0.8888888888888888,0.9563567362428842,0.08443647249561767,0.7844623401231644
25,0.8923076923076924,0.8611111111111112,0.9393939393939394,0.8985507246376813,0.9526515151515151,0.08797441823980509,0.784257942152679
