,accuracy,precision,recall,f1,auc,brier,kappa
0,0.9019607843137255,0.9166666666666666,0.88,0.8979591836734694,0.9503846153846154,0.0885035561565833,0.8036951501154734
1,0.9117647058823529,0.9259259259259259,0.9090909090909091,0.9174311926605504,0.9547388781431334,0.0745001088953452,0.8227114716106605
2,0.8921568627450981,0.8979591836734694,0.88,0.888888888888889,0.9325,0.11164468428857852,0.7841477491342824
3,0.9509803921568627,0.9347826086956522,0.9555555555555556,0.945054945054945,0.9805068226120858,0.05398402782089122,0.9008168028004667
4,0.8725490196078431,0.8620689655172413,0.9090909090909091,0.8849557522123893,0.9319148936170213,0.1017518157028272,0.7423241352506802
5,0.9019607843137255,0.9215686274509803,0.8867924528301887,0.9038461538461539,0.9530227185213709,0.09088039849355437,0.803921568627451
6,0.9117647058823529,0.96,0.8727272727272727,0.9142857142857144,0.9479690522243714,0.08296177278298,0.8238003838771593
7,0.8627450980392157,0.875,0.7954545454545454,0.8333333333333334,0.9280956112852665,0.10818816292208133,0.7171156893819335
8,0.9019607843137255,0.8928571428571429,0.9259259259259259,0.9090909090909091,0.9542824074074073,0.07612808852356709,0.802784222737819
9,0.9313725490196079,0.8979591836734694,0.9565217391304348,0.9263157894736843,0.9613742236024845,0.07235006837425226,0.8622153608645311
10,0.9215686274509803,0.94,0.9038461538461539,0.9215686274509804,0.9567307692307693,0.08202974479693395,0.8431975403535742
11,0.9313725490196079,0.9583333333333334,0.9019607843137255,0.9292929292929293,0.945213379469435,0.11138540325765552,0.8627450980392157
12,0.8627450980392157,0.8775510204081632,0.8431372549019608,0.86,0.9471357170319108,0.09757388635012186,0.7254901960784313
13,0.8823529411764706,0.8448275862068966,0.9423076923076923,0.890909090909091,0.9517307692307692,0.0940642302408715,0.764070932922128
14,0.9117647058823529,0.8867924528301887,0.94,0.912621359223301,0.9590384615384615,0.08018506401145868,0.8236650019208606
15,0.8725490196078431,0.9555555555555556,0.7962962962962963,0.8686868686868687,0.943479938271605,0.1014448843100955,0.7468499427262314
16,0.8725490196078431,0.9090909090909091,0.8163265306122449,0.8602150537634408,0.9324220254139393,0.0977951935976043,0.7437185929648241
17,0.9215686274509803,0.9545454545454546,0.875,0.9130434782608695,0.9587191358024691,0.0744484584716901,0.8418604651162791
18,0.8823529411764706,0.875,0.875,0.875,0.9513888888888888,0.09080148710284124,0.7638888888888888
19,0.8333333333333334,0.7872340425531915,0.8409090909090909,0.8131868131868133,0.8983150470219436,0.13631784154805726,0.663039253789351
20,0.9313725490196079,0.9411764705882353,0.9230769230769231,0.9320388349514563,0.9721153846153846,0.06744691577763039,0.8627450980392157
