,AOO_pot_mix,mean_pot_mix,std_pot_mix,var_pot_mix,Year_pot_mix
0,0.23318385650224216,0.141375295945379,0.07049453764301791,0.00496947983750287,2007
1,0.2242152466367713,0.13531815585713428,0.07166878375450145,0.005136414564849491,2007
2,0.23318385650224216,0.14618929132624522,0.06301364419366029,0.003970719354565217,2007
3,0.24663677130044842,0.16193900160178218,0.06794687902030197,0.004616778368599551,2007
4,0.242152466367713,0.1517301430149486,0.07392550244806922,0.00546497991219949,2007
5,0.22869955156950672,0.14503896740496372,0.06302212128887684,0.003971787771749904,2007
6,0.24,0.15292988524154708,0.06719139802396938,0.0045146839684154765,2007
7,0.23766816143497757,0.14644949623706796,0.06961501926403936,0.004846250907132571,2007
8,0.23318385650224216,0.14471065129272256,0.07754986567953583,0.006013981666914049,2007
9,0.24663677130044842,0.137188606941754,0.08343815724323539,0.006961926084146875,2007
10,0.23318385650224216,0.1580441555160294,0.05931987050201786,0.003518847036376169,2007
11,0.242152466367713,0.13377859807159811,0.08018103705017368,0.006428998702441326,2007
12,0.242152466367713,0.13221672418725663,0.08253480052998001,0.0068119932985235875,2007
13,0.25112107623318386,0.1321735046385942,0.08703781222195812,0.007575580756384844,2007
14,0.2383177570093458,0.14119493858390877,0.07890951643581752,0.006226711784134556,2009
15,0.23318385650224216,0.14054729950900716,0.06973454469278378,0.004862906723509859,2007
16,0.242152466367713,0.15045344937029656,0.07328263811410439,0.005370345048962785,2007
17,0.242152466367713,0.13066319404755922,0.08091937870600145,0.0065479458501652805,2007
18,0.25112107623318386,0.1336849870625382,0.08541312412363357,0.0072954017725592344,2007
19,0.24663677130044842,0.15696496655112957,0.061422302166260906,0.003772699203403459,2007
20,0.23766816143497757,0.13031319870784844,0.08261122617846049,0.0068246146907087555,2007
21,0.242152466367713,0.14934617934837402,0.07026114610324363,0.004936628651741349,2007
22,0.23318385650224216,0.14634247423556787,0.06710107455944712,0.004502554207032482,2007
23,0.23318385650224216,0.14849036011339029,0.06089912335946747,0.0037087032259516366,2007
24,0.23766816143497757,0.14748260886756673,0.07145946956891029,0.005106455791070017,2007
25,0.24663677130044842,0.14351799249689481,0.07016237717225182,0.004922759170461324,2007
26,0.24663677130044842,0.1415182655924304,0.07423418481679676,0.005510714195414338,2007
27,0.2242152466367713,0.144947098218196,0.06654657425207568,0.004428446544687022,2007
28,0.2242152466367713,0.14967368857774946,0.05718713778975342,0.003270368728584244,2007
29,0.25112107623318386,0.1323816636328872,0.0904544149819194,0.008182001189721285,2007
