,AOO_pot_mix,mean_pot_mix,std_pot_mix,var_pot_mix,Year_pot_mix
0,0.38228941684665224,0.2974748790810789,0.08578653273952823,0.007359329199470148,2010
1,0.3796095444685466,0.29899424813950354,0.07984247881750595,0.006374821423723887,2009
2,0.3776824034334764,0.29047168795321077,0.07816357883468435,0.006109545056245914,2010
3,0.38329764453961457,0.29415662575021767,0.09353717557772347,0.008749203215057866,2010
4,0.37339055793991416,0.2870188709555039,0.0830661688724438,0.00689998841114535,2010
5,0.3752711496746204,0.3012348122953439,0.07693771536660207,0.005919412045832276,2009
6,0.40217391304347827,0.31638651085766073,0.08053630284078911,0.006486096075263295,2010
7,0.37093275488069416,0.2946820043080538,0.0829042789924515,0.006873119475258234,2009
8,0.3605150214592275,0.2803409092645294,0.07515324508898172,0.005648010247404555,2010
9,0.33476394849785407,0.2719141233434981,0.07437323932451873,0.005531378727622138,2010
10,0.3652173913043478,0.2924106519748425,0.0815814550973976,0.006655533815808702,2009
11,0.35974304068522484,0.2770980456373184,0.07515121907334847,0.005647705728210416,2010
12,0.3644067796610169,0.2794214499746625,0.0781463006491311,0.0061068443051443865,2010
13,0.3634408602150538,0.2941211199744053,0.07670803327796462,0.005884122369373327,2010
14,0.3665943600867679,0.29021332950651985,0.08124970249234995,0.006601514155095377,2009
15,0.3899782135076253,0.3018996872598319,0.08378142620055419,0.0070193273761989085,2010
16,0.36644591611479027,0.3011627599628532,0.07392653633739038,0.005465132774843499,2009
17,0.3752711496746204,0.2967546116233793,0.08097044033111987,0.006556212207415443,2009
18,0.3562231759656652,0.2824500469077381,0.07173082614045136,0.005145311418791659,2010
19,0.3540772532188841,0.27932053354902514,0.07551170012937454,0.005702016856428583,2010
20,0.351931330472103,0.2775168915447506,0.08031477992065807,0.0064504638737037405,2010
21,0.37553648068669526,0.2920414472299852,0.07940854030671339,0.006305716273642925,2010
22,0.3717391304347826,0.29560957736867594,0.0821813376837617,0.006753772263492471,2009
23,0.36853448275862066,0.2953015445248216,0.07721105400230985,0.0059615468601476075,2010
24,0.37259100642398285,0.29502522038886214,0.0806616598756037,0.006506303373887576,2010
25,0.37037037037037035,0.29051044535680187,0.07930834322215936,0.006289813304643832,2009
26,0.38311688311688313,0.29539757553878204,0.07921217736911763,0.006274569043556552,2010
27,0.38913043478260867,0.3043061306648263,0.08284004495983063,0.00686247304894676,2010
28,0.3626609442060086,0.2783623000544995,0.0848698657840767,0.007202894118207191,2010
29,0.3497854077253219,0.27091310260894663,0.07652622829679499,0.005856263617333186,2010
